" de","2122"
"la ","1692"
"de ","1485"
" la","1356"
"que","1295"
"es ","1233"
" qu","1155"
"el ","999"
" el","987"
"en ","903"
"ent","883"
"ue ","855"
"e l","792"
" se","771"
" co","766"
" en","736"
" pe","731"
"a d","731"
"a, ","702"
" i ","696"
" l'","695"
" a ","667"
"per","650"
" ca","649"
" un","626"
"ls ","622"
"ia ","617"
"a l","611"
"ell","611"
"nt ","591"
"s d","582"
"ra ","572"
"ant","571"
"...","554"
"lla","546"
"les","529"
"na ","527"
" es","523"
"s, ","512"
"er ","509"
"est","491"
"res","483"
"a p","479"
" so","471"
"a c","471"
" no","447"
" al","445"
"com","444"
"ava","443"
"a a","435"
"del","433"
" ma","431"
"a s","427"
"a m","425"
"men","422"
"a e","421"
"va ","413"
"re ","411"
"era","409"
" pa","404"
"ta ","403"
"un ","400"
"ada","392"
"els","381"
" d'","376"
" ve","373"
"t, ","373"
"om ","361"
" to","356"
"tre","354"
"una","353"
" re","349"
"sa ","349"
" po","348"
" di","344"
"a f","344"
"da ","340"
"ns ","340"
"al ","339"
"sen","335"
" am","327"
" ll","321"
"amb","321"
"des","319"
", a","317"
", e","316"
"at ","315"
"ar ","313"
"a v","302"
"se ","301"
"s a","297"
" pr","292"
"no ","288"
"ll ","287"
" le","286"
"ren","285"
"t d","284"
"és ","281"
" sa","278"
"s e","276"
" fe","274"
"l p","272"
"sta","272"
"e s","269"
"mb ","265"
".. ","264"
"esp","264"
"e d","263"
"a t","261"
"tra","260"
" te","259"
"on ","256"
"tot","254"
"are","252"
"n l","252"
"or ","252"
"es,","251"
" tr","250"
"an ","250"
"lle","249"
"pre","247"
" do","245"
"li ","244"
"ona","243"
"n e","241"
"ora","241"
"ran","241"
"l'a","240"
"a i","238"
" vi","236"
"l c","236"
"e e","234"
"par","234"
"ens","232"
"all","231"
"e p","229"
"ts ","229"
"ass","227"
" mo","226"
" mi","225"
" fi","224"
" me","223"
"eix","221"
"con","217"
" fo","215"
"e c","215"
" ha","214"
"s p","214"
" ta","212"
"ssa","212"
"aqu","211"
"nta","211"
"car","210"
"a q","209"
", i","207"
"l d","206"
" li","205"
", d","205"
"ame","204"
"s q","204"
", l","203"
"ven","203"
"a n","202"
"l'e","202"
"tes","202"
"ria","201"
", s","200"
"alt","199"
"s i","199"
"tat","199"
"avi","197"
"i e","196"
"r a","196"
"s c","195"
"tan","195"
"ten","192"
"ter","192"
"n a","190"
"esc","189"
"any","188"
"'es","187"
"l m","186"
", p","185"
"ara","185"
"ere","185"
"més","185"
"via","185"
"ins","184"
"s s","184"
