"ha ","453"
" ha","377"
"a o","251"
"mba","222"
"cha","180"
" ku","174"
" oñ","165"
"agu","158"
" yv","157"
"oñe","154"
"ra ","149"
" mb","148"
"pe ","144"
" po","143"
"éra","142"
"va ","139"
"ba'","135"
"kué","135"
"uér","135"
"por","133"
"ich","132"
"ñem","129"
"a k","127"
"omb","117"
"orã","117"
" oh","116"
"mi ","112"
" re","111"
"a h","110"
"ete","108"
"gua","107"
"a p","102"
"and","102"
" pe","98"
"e h","97"
"ohe","94"
"apo","93"
"ba’","93"
"mbo","92"
"tu ","92"
"atu","89"
" om","86"
"kat","86"
"ehe","85"
"ndu","85"
"emb","84"
"emo","84"
"’e ","83"
"e, ","80"
"po ","79"
" ka","78"
"a, ","78"
"ech","78"
"hec","78"
"reh","78"
"i o","77"
"teĩ","77"
"umi","77"
"a’e","75"
" av","74"
"a m","74"
"a'e","74"
" oi","73"
", o","73"
" um","72"
"eko","72"
"pa ","72"
" te","71"
"hap","71"
"yvy","71"
"éic","71"
"eĩ ","70"
"ko ","70"
", h","69"
"e o","69"
"e p","69"
"'e ","68"
" nd","67"
"apa","67"
"are","67"
" ja","66"
"a y","66"
"oha","66"
"oty","66"
" he","65"
" oj","65"
"hín","63"
"ína","63"
"ava","62"
"na ","62"
"Ñan","62"
" hí","61"
"jap","61"
"o h","61"
"ty ","61"
"vot","61"
"a'a","60"
"a'é","60"
"kua","60"
"oik","60"
"ta ","60"
"e k","59"
"e. ","59"
"mom","59"
" ch","56"
"e r","56"
"guy","56"
"he ","56"
"a i","55"
"ape","55"
"ti ","54"
" py","53"
"upe","53"
"y h","53"
"chu","52"
"hup","52"
"pet","52"
"'éi","51"
"hag","51"
"nde","51"
"a u","50"
"ara","50"
"gue","50"
"te ","50"
"o p","49"
"gar","48"
"u h","48"
"de ","47"
"dut","47"
"iko","47"
"rã ","47"
"uti","47"
"a r","46"
"a t","46"
"vág","46"
"yvá","46"
"ága","46"
"ñan","46"
"ika","45"
"ite","45"
"koh","45"
" ña","43"
"Ara","43"
"pyr","43"
"ve ","43"
"y o","43"
"'ag","42"
"ram","42"
"ue ","41"
"ami","40"
"e a","40"
"rek","40"
" ik","39"
"a a","39"
"jag","39"
"mbi","39"
"re ","39"
"tek","39"
"ua ","39"
"uy ","38"
"ait","37"
"oja","37"
"Pet","36"
"ave","36"
"epy","36"
"oje","36"
"u o","36"
"ára","36"
"ã h","36"
"a n","35"
"eta","35"
"i y","35"
"iku","35"
"oho","35"
"yvo","35"
"e m","34"
"end","34"
"ka'","34"
"poh","34"
"ra,","34"
" ta","33"
" ár","33"
". P","33"
"aju","33"
"ka ","33"
"ohã","33"
" Pe","32"
"het","32"
"'ap","31"
"ive","31"
"tap","31"
"áva","31"
" Ña","30"
"a. ","30"
"oaj","30"
"ytu","30"
"éva","30"
"i h","29"
"rah","29"
"rap","29"
"uas","29"
"vyr","29"
"yra","29"
" op","28"
"ai ","28"
"asu","28"
"e t","28"
"hen","28"
"mbe","28"
"mon","28"
"-pe","27"
"Pe ","27"
"boj","27"
"che","27"
"he.","27"
"joa","27"
"nda","27"
" og","26"
"Yvo","26"
"aha","26"
"py’","26"
"uar","26"
"y’a","26"
" gu","25"
" ip","25"
". H","25"
"hã ","25"
"ipo","25"
"ogu","25"
"ojo","25"
"ong","25"
"pyt","25"
"pór","25"
"rũ ","25"
"uaa","25"
"uka","25"
"yrũ","25"
" Sy","24"
" ic","24"
"Ha ","24"
"a c","24"
"a’é","24"
"byt","24"
"egu","24"
"jep","24"
"o k","24"
"rai","24"
"rãv","24"
"tem","24"
"ñep","24"
"ũ o","24"
" je","23"
"du ","23"
"e j","23"
"e'ẽ","23"
"ha'","23"
"ho ","23"
"ngu","23"
"pe.","23"
"ru ","23"
"vei","23"
"y S","23"
"éi ","23"
"óra","23"
"’éi","23"
" Ar","22"
" ko","22"
